country_name,country_code,net_emigration,enrol_1990,enrol_2015,group,change_enrol
Pakistan,PAK,1177218,0.02816246589024862,0.08671999931335451,Lower middle income,0.05855753342310589
India,IND,593495,0.05816486676534017,0.268599999745687,Lower middle income,0.21043513298034683
Bangladesh,BGD,344054,0.0420482067708616,0.155486666361491,Lower middle income,0.1134384595906294
Lebanon,LBN,237572,0.2401269264221192,0.4115426381429033,Lower middle income,0.17141571172078413
"Congo, Dem. Rep.",COD,144916,0.0210577662785848,0.06235900084177651,Low income,0.04130123456319171
Nigeria,NGA,103989,0.043485621452331556,0.11103906949361197,Lower middle income,0.06755344804128041
Myanmar,MMR,100810,0.052092133363087934,0.1702860021591185,Lower middle income,0.11819386879603055
Sri Lanka,LKA,94897,0.0429333996772766,0.18223666508992534,Lower middle income,0.13930326541264873
Morocco,MAR,91959,0.10452146530151367,0.28805840174357134,Lower middle income,0.18353693644205765
Nepal,NPL,70597,0.053385866483052595,0.14087123235066734,Lower middle income,0.08748536586761474
Uzbekistan,UZB,69397,0.165073636372884,0.08320666631062826,Lower middle income,-0.08186697006225574
Tanzania,TZA,64819,0.0028787999600172046,0.04019551634788516,Lower middle income,0.03731671638786795
Kenya,KEN,61946,0.014971126859838282,0.09804345568021132,Lower middle income,0.08307232882037303
Zimbabwe,ZWE,59918,0.05555233319600423,0.09214193423589079,Lower middle income,0.03658960103988656
"Egypt, Arab Rep.",EGY,59715,0.13290203412373866,0.313041534423828,Lower middle income,0.18013950030008932
Cambodia,KHM,55607,0.0064795666933059656,0.14412696758906043,Lower middle income,0.13764740089575447
El Salvador,SLV,55143,0.15509546279907233,0.27195176442464203,Lower middle income,0.1168563016255697
Mali,MLI,44428,0.006168199976285297,0.0487849998474121,Low income,0.042616799871126806
Indonesia,IDN,40567,0.0831911675135295,0.33011246363321933,Lower middle income,0.24692129611968983
Algeria,DZA,36386,0.10147961457570409,0.39499505360921233,Lower middle income,0.29351543903350824
